


OLDGD:N+:CO+
OLDGD:E+:X

"MRHEN:A+:ST+, MRHEN:X:SE+, OLDGD:E+:X, MSDSH:A+:ST"

MRJOD:C+:X




OLDGD:X:CO+
MRHEN:X:ST+
"ELINO:A+:X, MARGA:A+:X, MARIA:A+:X, MSDSH:A+:X"
OLDGD:X:SE-
MRHEN:N-:ST+


MRHEN:A+:ST+
MRJOD:A-:ST+
"MRHEN:X:CO+, MRJOD:C+:X"
"MRJOD:A-:X, MRJOD:C+:X"
MRJOD:X:ST-
"FANNY:A-:X, FANNY:O-:X, MRJOD:A-:X, MRJOD:O-:X"
MRJOD:C+:ST+
MRJOD:X:ST+
MRJOD:A+:ST+

MRJOD:X:ST+
MRJOD:X:ST-
MRJOD:C+:X
MRJOD:A-:X
"MSDSH:A+:ST+, FANNY:A-:X"
FANNY:A-:SE+

"ELINO:X:CO+, MSDSH:X:ST+"
"ELINO:A+:X, ELINO:C+:X, MSDSH:C-:X"
"ELINO:A+:X, ELINO:C+:X, MSDSH:C-:X, MARGA:C-:X, MARIA:C-:X"

"MARIA:N:X, MARIA:O:X"
"MSDSH:A+:X, MSDSH:E+:X, MSDSH:C-:X"
"MARIA:A+:X, MARIA:E+:X, MARIA:C-:X"
"MARIA:N+:X, MSDSH:N+:X"

"MARIA:N+:X, MSDSH:N+:X"
"MARIA:N+:X, MSDSH:N+:X"
"ELINO:N-:X, ELINO:C+:X"
"ELINO:C+:ST, ELINO:A+:X"
"MARGA:N-:X, MARGA:C+:X, MARGA:O+:X, MARIA:O+:X, MARIA:C-:X"

"FANNY:X:CO, MRJOD:A-:ST"
"MRJOD:X:ST+, MSDSH:X:CO+"
MSDSH:X:CO+
MSDSH:N+:X
MSDSH:N+:X
MSDSH:A-:ST-
MSDSH:X:SE+
MSDSH:A-:ST-
"MSDSH:X:SE+, MRJOD:X:SE-"
"MSDSH:A-:ST-, MRJOD:X:ST+"
"MSDSH:X:SE+, MRJOD:X:ST+, MRJOD:X:SE-"
MRJOD:X:CO+
MSDSH:A-:X
MSDSH:A-:SE+
"MRJOD:A+:ST+, MRHEN:X:ST+"

MRHEN:A+:X
MRJOD:X:ST+
MRJOD:X:CO+
MRJOD:X:CO+
FANNY:X:ST-
FANNY:X:SE+

MRJOD:X:SE+
MRJOD:X:SE+
MRJOD:X:ST
FANNY:A-:X
"MRJOD:X:ST-, MRJOD:X:SE+"
MRJOD:X:ST+
FANNY:A-:SE+
FANNY:X:SE+
"MRJOD:X:ST+, FANNY:X:SE+"
MRJOD:X:ST+
MRJOD:X:ST-
"FANNY:A-:ST-,  "
MRJOD:X:ST+
"FANNY:A-:ST-,  "


MRJOD:A+:ST+
MRJOD:A+:ST+
MRJOD:A+:ST+
"FANNY:A-:ST-, "
FANNY:X:ST-
FANNY:X:SE+

MRJOD:A-:X

FANNY:X:SE+
FANNY:A-:X
"FANNY:A-:ST-, MSFER:A-:ST-"
MSFER:A-:ST-
MSFER:A-:ST-
MSFER:A-:SE+
FANNY:A-:ST-
MRJOD:X:SE+
MRJOD:X:SE+
MRJOD:X:CO+
FANNY:A-:X
FANNY:A-:X
FANNY:X:SE+
FANNY:X:SE+
FANNY:X:SE+
MRJOD:A-:ST+
MRJOD:X:ST
"MRJOD:X:ST-, MRJOD:X:CO+"

FANNY:A-:ST-
FANNY:A-:ST-
FANNY:A-:SE+
FANNY:A-:ST-
FANNY:A-:ST-
FANNY:A-:ST-
FANNY:A-:ST-


FANNY:A-:ST-
FANNY:A-:SE+
MRJOD:X:ST-
MRJOD:X:ST-
MRJOD:X:CO+
MRJOD:X:ST+
MRJOD:X:ST+



FANNY:X:SE+


FANNY:A+:SE+
FANNY:X:SE+
FANNY:A-:SE+

FANNY:A-:X
"FANNY:X:ST-, FANNY:X:CO"

"MRJOD:C+:ST-, MRJOD:X:CO+, MRJOD:X:SE"

MSDSH:N+:CO+
"MSDSH:C-:X, ELINO:C+:X"

MSDSH:A+:ST+
MRJOD:A-:X
MSDSH:A+:CO+
FANNY:A-:X
EDWAR:A+:X:

MSDSH:X:SE-
MSDSH:X:ST+
MSDSH:X:ST+

EDWAR:E-:X
"EDWAR:E-:X, EDWAR:A+:X"
EDWAR:O+:X
"EDWAR:X:SE-, FANNY:X:SE+, MSFER:X:SE+"
"FANNY:X:SE+, MSFER:X:SE+"
MSFER:X:SE+
FANNY:X:SE+
"EDWAR:X:SE-, FANNY:X:SE+, MSFER:X:SE+"
EDWAR:E-:SE-
ROBFE:X:SE+
 MSDSH:N+:X
EDWAR:E-:X
"EDWAR:E-:X, MSDSH:E-:X"


FANNY:A-:X
EDWAR:A+:X





MSDSH:X:OC+

"MSDSH:X:ST+, EDWAR:E-:X, EDWAR:A+:X"


MSDSH:X:ST+
MARIA:N+:ST-


EDWAR:A+:X
MARIA:X:ST-

EDWAR:A+:X
"MARIA:A-:X, "
"EDWAR:O-:X, EDWAR:A+:X"

"EDWAR:O-:X, ELINO:O+:X"
EDWAR:O-:X
EDWAR:O-:X
MARIA:A-:SE-
MARIA:O+:X
MARIA:O+:CO+
"MARIA:A-:X, EDWAR:O-:X"
MARIA:A-:OC+

MARIA:A-:OC+
"MARIA:A-:OC+, MARIA:O+:X, EDWAR:N-:X, EDWAR:O-:X"
MARIA:O+:X
MARIA:O+:X
MARIA:A+:CO-
MARIA:A+:X
MARIA:X:OC+
MARIA:X:OC+
MARIA:N+:OC+
MARIA:X:OC+



"MSDSH:X:ST+, EDWAR:O-:X"

EDWAR:O+:X
EDWAR:O+:X
